INFO 2023-10-17 19:44:40,371 autoreload 637 Watching for file changes with StatReloader
WARNING 2023-10-17 19:44:47,093 log 230 Not Found: /
WARNING 2023-10-17 19:44:47,094 basehttp 161 "GET / HTTP/1.1" 404 2172
WARNING 2023-10-17 19:44:47,548 log 230 Not Found: /
WARNING 2023-10-17 19:44:47,549 basehttp 161 "GET / HTTP/1.1" 404 2172
WARNING 2023-10-17 19:44:53,114 log 230 Not Found: /polls
WARNING 2023-10-17 19:44:53,115 basehttp 161 "GET /polls HTTP/1.1" 404 2205
INFO 2023-10-17 19:44:54,536 basehttp 161 "GET /polls/index HTTP/1.1" 200 1157
INFO 2023-10-17 19:45:16,788 autoreload 251 D:\djangoProject\djangoProject\settings.py changed, reloading.
INFO 2023-10-17 19:45:17,356 autoreload 637 Watching for file changes with StatReloader
INFO 2023-10-17 19:45:19,023 basehttp 161 "GET /polls/index HTTP/1.1" 200 1157
INFO 2023-10-17 19:45:24,487 basehttp 161 "GET /polls/index HTTP/1.1" 200 1157
INFO 2023-10-17 19:45:33,026 autoreload 251 D:\djangoProject\djangoProject\settings.py changed, reloading.
INFO 2023-10-17 19:45:33,706 autoreload 637 Watching for file changes with StatReloader
DEBUG 2023-10-17 19:45:33,708 autoreload 315 Waiting for apps ready_event.
DEBUG 2023-10-17 19:45:33,731 autoreload 327 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-10-17 19:45:33,746 autoreload 281 Watching dir D:\djangoProject\templates with glob **/*.
DEBUG 2023-10-17 19:45:33,746 autoreload 281 Watching dir D:\djangoProject\locale with glob **/*.mo.
DEBUG 2023-10-17 19:45:33,747 autoreload 281 Watching dir D:\djangoProject\djangoProject\locale with glob **/*.mo.
DEBUG 2023-10-17 19:45:33,888 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\typing_extensions.py first seen with mtime 1697164780.4328663
DEBUG 2023-10-17 19:45:33,889 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1697503995.8526947
DEBUG 2023-10-17 19:45:33,889 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\wsgi.py first seen with mtime 1697503995.6618824
DEBUG 2023-10-17 19:45:33,890 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\db\backends\oracle\introspection.py first seen with mtime 1697503995.7773612
DEBUG 2023-10-17 19:45:33,890 autoreload 379 File D:\djangoProject\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1697503995.6790898
